model,accuracy,precision,recall,f1_score
MLP,0.7191101860283595,0.7174133881566499,0.7191101860283595,0.7176422128127848
RandomForest,0.7283465591257968,0.7323933862687562,0.7283465591257968,0.7248620430924467
GradientBoosting,0.6154026278131911,0.6063753387248649,0.6154026278131911,0.6057732597313036
